dir,dataset,backbone,norm_mode,augmentation,aug_param,window_ms,seed,n_subjects,n_rows,subject_id_set_hash,source_of_config,confidence,mtime_earliest,mtime_latest
results_classical_base36_v2,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base_label_map.json); seed:unknown; feature_set:verified(base),unknown,2026-03-22T11:52:25+00:00,2026-03-22T12:13:58+00:00
results_classical_combined81,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: combined_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_full_label_map.json); seed:unknown; feature_set:verified(full),unknown,2026-03-19T04:43:45+00:00,2026-03-19T04:47:17+00:00
results_classical_ext54,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_label_map.json); seed:unknown; feature_set:verified(ext),unknown,2026-03-19T04:43:41+00:00,2026-03-19T04:47:05+00:00
results_classical_freq72_v2,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_label_map.json); seed:unknown; feature_set:verified(ext),unknown,2026-03-22T11:52:28+00:00,2026-03-22T12:13:54+00:00
results_cnn,,see source,see source,see source,see source,see source,see source,0,0,,dataset:unknown; backbone:documented(REPRODUCE.md:64); norm_mode:documented(REPRODUCE.md:36); augmentation:documented(EXPERIMENT_PLAN_CD_PARITY.md:310); window_ms:documented(EXPERIMENT_PLAN_WINDOW_LENGTH.md:201); seed:documented(REPRODUCE.md:61),unknown,2026-03-09T16:29:34+00:00,2026-03-22T12:10:35+00:00
results_cnn_aug_resnet_se_chandrop,SIAT,resnet_se,see source,see source,see source,see source,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_WINDOW_LENGTH.md:83); augmentation:documented(EXPERIMENT_PLAN_CD_PARITY.md:310); window_ms:documented(EXPERIMENT_PLAN_WINDOW_LENGTH.md:201); seed:unknown,unknown,2026-07-21T21:44:55+00:00,2026-07-21T21:44:55+00:00
results_cnn_aug_resnet_se_chandrop_proba,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T00:48:42+00:00,2026-07-22T00:48:42+00:00
results_cnn_aug_resnet_se_combined,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-21T23:41:16+00:00,2026-07-21T23:41:16+00:00
results_cnn_aug_resnet_se_gaussian,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-21T20:43:25+00:00,2026-07-21T20:43:25+00:00
results_cnn_aug_resnet_se_none,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-21T20:13:36+00:00,2026-07-21T20:13:36+00:00
results_cnn_aug_resnet_se_timemask,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-21T22:25:53+00:00,2026-07-21T22:25:54+00:00
results_cnn_calibration,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,see source,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:documented(REPRODUCE.md:61),unknown,2026-07-10T14:24:59+00:00,2026-07-10T14:24:59+00:00
results_cnn_calibration_chandrop_resnet_se,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T02:19:38+00:00,2026-07-22T02:19:38+00:00
results_cnn_calibration_chandrop_resnet_se_multidraw,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,800,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T02:57:43+00:00,2026-07-22T02:57:43+00:00
results_cnn_calibration_ftepochs3,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-10T14:45:07+00:00,2026-07-10T14:45:07+00:00
results_cnn_calibration_multidraw,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,800,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-18T12:59:25+00:00,2026-07-18T12:59:25+00:00
results_cnn_calibration_resnet_se,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T06:53:15+00:00,2026-07-20T06:53:15+00:00
results_cnn_calibration_resnet_se_multidraw,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,800,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T07:20:36+00:00,2026-07-20T07:20:36+00:00
results_cnn_calibration_seed7,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,see source,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:documented(REPRODUCE.md:61),unknown,2026-07-10T14:55:38+00:00,2026-07-10T14:55:38+00:00
results_cnn_loso,,see source,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:documented(REPRODUCE.md:64); norm_mode:documented(REPRODUCE.md:36); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-09T21:24:53+00:00,2026-03-22T12:30:22+00:00
results_cnn_loso_aug_chandrop,,see source,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:212); norm_mode:documented(README.md:159); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-20T15:27:42+00:00,2026-03-20T21:16:54+00:00
results_cnn_loso_aug_chandrop_globnorm,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:163); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-21T09:27:48+00:00,2026-03-21T13:37:56+00:00
results_cnn_loso_aug_combined,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:161); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-20T22:48:31+00:00,2026-03-21T00:43:13+00:00
results_cnn_loso_aug_gaussian,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:158); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-20T10:51:26+00:00,2026-03-20T15:21:29+00:00
results_cnn_loso_aug_gaussian_globnorm,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:162); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-21T06:22:42+00:00,2026-03-21T09:20:32+00:00
results_cnn_loso_aug_timemask,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:160); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-20T21:22:07+00:00,2026-03-20T22:45:33+00:00
results_cnn_loso_aug_timemask_globnorm,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(README.md:164); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-21T13:45:51+00:00,2026-03-21T16:32:32+00:00
results_cnn_loso_norm_none,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-18T21:29:51+00:00,2026-03-18T23:07:14+00:00
results_cnn_loso_norm_persubj,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(REPRODUCE.md:36); augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-18T23:10:06+00:00,2026-03-20T09:09:23+00:00
results_cnn_loso_norm_robust,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-03-19T00:57:39+00:00,2026-03-19T02:33:00+00:00
results_cnn_loso_resnet,SIAT,resnet,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T10:46:06+00:00,2026-07-19T10:46:06+00:00
results_cnn_loso_resnet_se,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T10:21:13+00:00,2026-07-19T10:21:13+00:00
results_cnn_loso_simple_repro,SIAT,simple,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T09:51:48+00:00,2026-07-19T09:51:49+00:00
results_coral_lam_sweep,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-08-30T05:31:56+00:00,2026-08-30T05:55:58+00:00
results_deep_coral_chandrop,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T04:25:09+00:00,2026-07-22T04:25:09+00:00
results_deep_coral_cnn_resnet_se,SIAT,see source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:documented(REPRODUCE.md:71); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T11:29:41+00:00,2026-07-19T11:29:41+00:00
results_EC2,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-08-29T18:36:53+00:00,2026-08-29T18:37:16+00:00
results_ensemble_v2,,see source,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:documented(REPRODUCE.md:150); norm_mode:documented(REPRODUCE.md:146); augmentation:unknown; window_ms:verified(filename token: freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext__RF_nested_loso_subjectwise.csv); seed:unknown; feature_set:verified(ext),unknown,2026-07-19T17:39:38+00:00,2026-07-22T09:30:09+00:00
results_ensemble_v2_aug_chandrop,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T00:49:26+00:00,2026-07-22T00:49:26+00:00
results_ensemble_v2_chandrop,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T01:16:07+00:00,2026-07-22T01:16:07+00:00
results_ext_adabn,ENABL3S,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T11:38:06+00:00,2026-07-20T11:38:06+00:00
results_ext_chandrop_resnet_se_global,ENABL3S,resnet_se,see source,see source,see source,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_CD_PARITY.md:213); augmentation:documented(EXPERIMENT_PLAN_CD_PARITY.md:213); window_ms:unknown; seed:unknown,unknown,2026-07-22T01:40:18+00:00,2026-07-22T01:40:18+00:00
results_ext_chandrop_resnet_se_persubj,ENABL3S,resnet_se,see source,see source,see source,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_CD_PARITY.md:211); augmentation:documented(EXPERIMENT_PLAN_CD_PARITY.md:211); window_ms:unknown; seed:unknown,unknown,2026-07-22T01:33:20+00:00,2026-07-22T01:33:20+00:00
results_ext_cnn_global,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(REPRODUCE.md:87); augmentation:unknown; window_ms:verified(filename token: windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-07-11T10:27:14+00:00,2026-07-11T10:42:01+00:00
results_ext_cnn_persubj,,UNKNOWN,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:documented(REPRODUCE.md:86); augmentation:unknown; window_ms:verified(filename token: windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60__CNN_LOSO_confusion.csv); seed:unknown,unknown,2026-07-10T21:15:57+00:00,2026-07-10T21:52:33+00:00
results_ext_deepcoral,ENABL3S,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T10:53:53+00:00,2026-07-20T10:53:53+00:00
results_ext_ensemble_v2,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: freq_windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60_features_ext__RF_nested_loso_subjectwise.csv); seed:unknown; feature_set:verified(ext),unknown,2026-07-20T08:07:05+00:00,2026-07-20T12:33:24+00:00
results_ext_ensemble_v2_chandrop,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T01:27:52+00:00,2026-07-22T01:40:37+00:00
results_ext_global,ENABL3S,classical:RF,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(subjectwise filename); norm_mode:documented(REPRODUCE.md:85); augmentation:unknown; window_ms:verified(filename token: freq_windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60_features_ext__RF_nested_loso_subjectwise.csv); seed:unknown; feature_set:verified(ext),unknown,2026-07-10T20:10:06+00:00,2026-07-10T21:09:10+00:00
results_ext_persubj,ENABL3S,classical:RF,see source,UNKNOWN,UNKNOWN,250,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(subjectwise filename); norm_mode:documented(REPRODUCE.md:84); augmentation:unknown; window_ms:verified(filename token: freq_windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60_features_ext__RF_nested_loso_subjectwise.csv); seed:unknown; feature_set:verified(ext),unknown,2026-07-10T17:17:00+00:00,2026-07-10T18:17:19+00:00
results_ext_resnet_se_global,ENABL3S,resnet_se,see source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_CD_PARITY.md:212); augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T10:34:46+00:00,2026-07-20T10:34:46+00:00
results_ext_resnet_se_persubj,ENABL3S,resnet_se,see source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,10,643cff05d892,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_CD_PARITY.md:210); augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T10:28:02+00:00,2026-07-20T10:28:02+00:00
results_ext_sd,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: freq_windows_ENABL3S_WAK_UPS_DNS_STDUP_w250_ov50_conf60_features_ext_label_map.json); seed:unknown; feature_set:verified(ext),unknown,2026-07-10T23:18:13+00:00,2026-07-11T10:21:28+00:00
results_g3_noaug_instr,SIAT,resnet,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,see source,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:documented(EXPERIMENT_PLAN_CD_PARITY.md:152),unknown,2026-09-02T05:05:36+00:00,2026-09-02T05:05:36+00:00
results_latency,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T04:05:19+00:00,2026-07-20T04:05:19+00:00
results_lda_global,SIAT,UNKNOWN,see source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:documented(REPRODUCE.md:62); augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T08:32:57+00:00,2026-07-19T08:32:57+00:00
