feature_idx,family,channel,s2_between,s2_within,ICC,ICC_DNS,ICC_STDUP,ICC_UPS,ICC_WAK
67,SP,5,0.6142418559276794,1.3601663708455547,0.31110175069090545,0.3174448597478107,0.10372460224734495,0.42780224825221824,0.36640482085194426
61,MDF,8,294.26071723651455,652.8949663329172,0.31067829960917254,0.3197840118587337,0.4073379215260715,0.2637771980853218,0.2331520572033035
28,ZC,2,58.492335280295286,147.41204269440976,0.28407523849483646,0.20083371572988182,0.3544868076550496,0.23483048483523164,0.2997900701522351
55,MDF,2,132.80981631426255,346.56316130596156,0.27704902552825805,0.21865481656110036,0.3451631178584618,0.17488493259877358,0.28779816258855323
18,WL,1,0.37708617886956974,1.0217428230521652,0.26957274860009506,0.4137914058460455,0.18412316368431456,0.24074304747067307,0.307505331774316
19,WL,2,0.33154074453970933,0.9244379592283918,0.2639700367092559,0.337916080040603,0.18507421567802654,0.23732116443527912,0.3762573601066149
13,RMS,5,7.482567693928246e-05,0.00021423186994808064,0.25886083150231587,0.2536969762971307,0.039698839135732224,0.31921649106988004,0.30978301285330134
10,RMS,2,3.260779693037262e-05,9.35559056782982e-05,0.2584562457834175,0.3436810778457733,0.15875839179072004,0.2213130821901141,0.3625508457001286
66,SP,4,0.3628781336738561,1.129868150940779,0.24309431375844026,0.2067200997738204,0.23136954340155497,0.2378755653027601,0.27890829514239734
4,MAV,5,3.094899305943209e-05,9.857305055505978e-05,0.23894768948788647,0.23506556290863342,0.03906299267017532,0.28940232276851724,0.3142117577542261
63,SP,1,0.37773349105662596,1.2069222853898909,0.2383694280304002,0.32270982166698675,0.22637866993902925,0.15384493241721392,0.28610539844680577
64,SP,2,0.4436831223012686,1.4398799564400122,0.23555522366565312,0.29908565503735096,0.2138417163717188,0.1708207248474815,0.3009700571873153
1,MAV,2,1.3816972942527723e-05,4.723002339756633e-05,0.22633337872273174,0.29615060430376117,0.153525628446728,0.19832064094858298,0.33736176180271843
22,WL,5,1.4066429534878588,4.848543351359104,0.22487626825725268,0.23576212811766922,0.041413683547940915,0.26300713348976146,0.31473107791833427
21,WL,4,0.25429789935009434,0.880894845939979,0.22401297084145314,0.2134571534315476,0.17113468794933354,0.22671663709912585,0.24914875072569753
12,RMS,4,2.0195621653666145e-05,6.997805606907286e-05,0.2239636018369187,0.1994496229392623,0.17703709193119746,0.23075632449613814,0.2420328461123343
9,RMS,1,1.663403117691257e-05,5.908717599333249e-05,0.2196746697330649,0.3513822362239558,0.16633639304951875,0.1605408066255564,0.2833433819162284
3,MAV,4,7.330533821894208e-06,2.833156047538414e-05,0.20555533729418854,0.1874628739444849,0.17420919876370708,0.1997001358921026,0.2293305756091146
0,MAV,1,7.597097030033182e-06,3.0031426483540816e-05,0.20189729281545232,0.3301366903738597,0.152351230117019,0.1471372563947113,0.2722117211506827
14,RMS,6,7.53246768263787e-05,0.0002985874981977549,0.2014501849839925,0.20332064610567438,0.03830195768376397,0.2504803247539996,0.1852910854440356
68,SP,6,0.3622917984611229,1.4628828953694608,0.1984970532879586,0.2110047271832766,0.10805831578651669,0.25003867814038444,0.20924405952510622
5,MAV,6,3.278145302811304e-05,0.00014142756039729385,0.18817311678393414,0.18757050905272968,0.04010751076668661,0.2308255999226202,0.18940642445625608
16,RMS,8,0.00017181644077862886,0.0007581459333005588,0.18475633592031587,0.24798790598340786,0.2973859423886233,0.14643369695437575,0.20386438598105616
20,WL,3,0.793782301513703,3.5544369575955446,0.18255342111619113,0.20650647026654337,0.16655660748113132,0.12246273082760395,0.689449535089923
23,WL,6,0.7130303348286435,3.4366862352929046,0.1718262736213231,0.16517328893099964,0.03217024860675309,0.20445513628579862,0.24122992151074846
69,SP,7,0.299025559689449,1.5599301534624759,0.16085674208044506,0.2625384262172151,0.3281398278510073,0.1174185575029957,0.12107353570057104
7,MAV,8,5.305693346916602e-05,0.0002973631787098409,0.15140949855658592,0.19748332044377961,0.29591274814674573,0.12614800643761204,0.1629253597559659
17,RMS,9,3.8641793712685364e-05,0.0002342162124974453,0.14161869116249032,0.2347963952666466,0.20065523182401582,0.10525423358149102,0.1161369712997057
25,WL,8,1.666582551930731,10.290398040951523,0.13938155531696803,0.17327937236949684,0.27567336573193835,0.11619395836397127,0.1447773787731921
65,SP,3,0.35807934663022,2.2499923887657425,0.13729658650507007,0.14105453076276847,0.10102238764825659,0.06409588500103693,0.36031087214384494
15,RMS,7,2.7896000969981977e-05,0.00017952266547184272,0.13449127529612215,0.1976574534079533,0.25630518555918064,0.11092574243777953,0.13822073739716434
71,SP,9,0.2690377169082934,1.7781113521646672,0.13142067716159309,0.2073252414779138,0.2132745570872327,0.1015776014894721,0.08058517481542754
6,MAV,7,9.749194348965968e-06,6.450802109948384e-05,0.1312895223728658,0.18959725665119048,0.3172087267484188,0.10442282692384425,0.13765431520165944
26,WL,9,0.552660095478331,3.7198929527160036,0.12935125421365945,0.2132107936760769,0.2578395184703048,0.09379907799518766,0.09868990229381487
8,MAV,9,1.446655070548511e-05,9.978681662175506e-05,0.12661815615508787,0.21850791326484634,0.22206300199906265,0.09204588449287521,0.09982455749284029
24,WL,7,0.19356144712743834,1.430495012809035,0.11918393966119238,0.22828311282654712,0.22572206692392513,0.09921726685149365,0.09738624491353898
70,SP,8,0.39916380385992195,3.1467018662154933,0.11257160902303226,0.16701650441100824,0.26840894120944797,0.07291854344490062,0.07784478684672755
11,RMS,3,4.205826588216887e-05,0.00034037451581425996,0.10997557713437413,0.16560505381499005,0.05232363572692606,0.07171855751563212,0.23686488437208864
2,MAV,3,1.583887591394382e-05,0.0001579611331978144,0.09113276802971274,0.13557290352353507,0.04685422600264016,0.059012592322685575,0.27726916382900585
38,WAMP,3,0.008474824554283698,0.1909161757759267,0.042503545998809296,0.03779986432410159,0.04862168925180026,0.02801415471529319,0.050273074061360924
40,WAMP,5,0.005639256352285212,0.17720580790762738,0.030841720421115992,0.04521184069030904,0.022312170020012206,0.05501630647081067,0.007986055829312924
37,WAMP,2,0.0066685967082514095,0.2518228454369722,0.02579813340398678,0.018558117519168034,0.03792877883174008,0.018005504462950923,0.023912464352935744
36,WAMP,1,0.00506698669987047,0.23447164413592433,0.021153108716497258,0.023688445265879,0.01812273639178736,0.01742681175536237,0.025029292823399028
41,WAMP,6,0.0032588389408760273,0.1589463102087756,0.02009084765779784,0.02542965238077085,0.02257434919871443,0.013341277588025233,0.015034525850838781
39,WAMP,4,0.004394305818998038,0.2179752724910092,0.01976127243840837,0.0108300985910886,0.021268531217446075,0.016540183602297778,0.027155509123207147
42,WAMP,7,0.0038386765914718585,0.2211715504033495,0.01706000941708399,0.011291122695861813,0.01575882707222817,0.024325060144235085,0.018348031453022856
43,WAMP,8,0.003421953194563462,0.21018089497738404,0.016020166509244458,0.010602316964125358,0.018577719777124756,0.0118361659038237,0.020596015352341186
44,WAMP,9,0.002032363872148381,0.16365635245511878,0.012266157389583913,0.012755328928438411,0.013678665739261221,0.01121126317863012,0.010586696632905401
